FIPS,county_clean,State,married.slope_2022,unmarried.slope_2022,household_volatility,E_POV150,E_UNINSUR,E_CROWD,E_NOVEH,E_MINRTY,E_AGE65,healthcare_vulnerability,disease_risk_score,covid_cases,covid_cases_per_100k
18099,"marshall, indiana",IN,-126.964285714286,-25.2623303167456,152.2266160310316,10618,5635,432,1025,5978,8159,6067,3701.0906464124123,12328,26605.6629834254
19127,"marshall, iowa",IA,391.98860104382,-72.7984113134444,464.7870123572644,7692,2109,600,1054,12085,7184,2709,1811.3148049429055,11247,28255.9541754598
20117,"marshall, kansas",KS,97.108581124754,94.5922456319386,191.7008267566926,1697,657,82,173,546,2133,739,520.080330702677,2919,30052.5069494492
21157,"marshall, kentucky",KY,-125.964285714286,120.171428571429,246.135714285715,6085,2015,180,631,1154,6840,2195,1415.454285714286,10247,32816.6533226581
27089,"marshall, minnesota",MN,-69.9464285714286,31.159211402759,101.1056399741876,1334,359,33,177,637,2019,392,275.64225598967505,2165,23147.6531594141
28093,"marshall, mississippi",MS,-1008.43239052594,94.5922456319386,1103.0246361578786,11082,5003,269,473,18572,6194,5272,3604.4098544631515,12159,34248.7747169174
40095,"marshall, oklahoma",OK,-56.8464285714286,35.5202393829823,92.3666679544109,4632,2765,141,196,5942,3726,2906,1780.5466671817642,5772,34587.7277085331
46091,"marshall, south dakota",SD,-56.8464285714286,-58.7171137685837,115.5635423400123,620,352,34,35,822,1062,386,277.8254169360049,965,19770.5388240115
47117,"marshall, tennessee",TN,182.6,77.3785714285714,259.9785714285714,8534,2604,207,403,5306,5430,2811,1790.5914285714284,10369,30761.2436216922
54051,"marshall, west virginia",WV,-307.710714285714,21.7166870608926,329.4274013466066,8040,2134,62,902,1062,6886,2196,1449.3709605386425,11200,36245.9546925566
12085,"martin, florida",FL,630.935714285714,388.378571428571,1019.314285714285,27308,15177,814,3137,35343,50025,15991,10002.325714285715,41399,25806.6325894527
18101,"martin, indiana",IN,-72.975,35.4142857142857,108.38928571428569,1929,553,89,154,599,1994,642,428.55571428571426,2164,21280.3618841577
21159,"martin, kentucky",KY,-232.918465562165,94.5922456319386,327.5107111941036,3134,475,72,316,928,1880,547,459.2042844776414,4230,37037.037037037
27091,"martin, minnesota",MN,-128.957142857143,46.8214285714286,175.77857142857158,4097,1200,81,466,1475,4598,1281,838.9114285714287,5864,29710.6956477682
37117,"martin, north carolina",NC,-213.864285714286,94.5922456319386,308.4565313462246,7448,2006,112,791,10910,5203,2118,1394.1826125384898,7636,33721.957251369
48317,"martin, texas",TX,-146.314128622413,94.5922456319386,240.9063742543516,1043,462,136,0,2765,619,598,455.16254970174066,1411,24859.0556730092
51690,"martinsville city, virginia",VA,-76.6821428571429,70.0730346441269,146.75517750126983,4631,1236,0,835,7148,2334,1236,800.3020710005079,4672,36944.488375771
17125,"mason, illinois",IL,-168.435714285714,7.13435681964802,175.57007110536202,3153,730,42,268,484,3025,772,533.4280284421448,4653,34502.4469820555
21161,"mason, kentucky",KY,-56.8464285714286,79.1390756302517,135.9855042016803,4746,1138,86,610,1958,3146,1224,788.7942016806721,6310,36853.1713584862
26105,"mason, michigan",MI,292.56554621848,61.5428571428571,354.1084033613371,7206,1970,124,845,2537,6877,2094,1398.0433613445348,8513,29292.54696855
48319,"mason, texas",TX,241.46179138124,-83.0506140917896,324.5124054730296,668,613,0,79,995,1133,613,497.60496218921185,1123,26435.9698681733
53045,"mason, washington",WA,922.804120879155,154.132142857143,1076.936263736298,13825,4005,734,944,13521,14983,4739,3274.1745054945195,16253,24879.8334506934
54053,"mason, west virginia",WV,-56.8464285714286,94.5922456319386,151.4386742033672,6873,1611,91,837,984,5579,1702,1081.7754696813467,8899,33329.5880149813
17127,"massac, illinois",IL,-125.439285714286,94.5922456319386,220.0315313462246,3555,976,154,355,1759,2915,1130,766.0126125384899,4493,31999.1453600171
48321,"matagorda, texas",TX,-56.8464285714286,-33.1925888452679,90.03901741669651,11192,6322,417,881,20944,6109,6739,4079.4156069666783,10613,28846.7288195483
02170,"matanuska-susitna borough, alaska",AK,1408.175,334.153571428571,1742.328571428571,17461,14864,1659,1244,23177,12861,16523,10610.731428571427,40348,37581.9672131148
51115,"mathews, virginia",VA,-56.8464285714286,63.6678571428571,120.5142857142857,1262,946,19,42,1261,2634,965,627.2057142857143,2094,23904.1095890411
15009,"maui, hawaii",HI,879.639285714286,-25.5231422483921,905.1624279626781,23671,8455,5190,2578,117240,30408,13645,8549.064971185071,46667,28001.8241057981
000NA,"maunabo municipio, puerto rico",NA,-191.832142857143,94.5922456319386,286.4243884890816,NA,NA,NA,NA,NA,NA,0,114.56975539563264,NA,NA
47119,"maury, tennessee",TN,1198.24285714286,711.236231415649,1909.479088558509,15767,8692,544,963,19910,15334,9236,6305.391635423403,29020,30671.6693970301
48323,"maverick, texas",TX,-783.80357142858,102.539285714286,886.342857142866,23464,16921,1753,1109,56632,6851,18674,11558.937142857147,25445,43796.6883541602
000NA,"mayagüez municipio, puerto rico",NA,-1242.83928571429,227.375,1470.21428571429,NA,NA,NA,NA,NA,NA,0,588.0857142857161,NA,NA
40097,"mayes, oklahoma",OK,-211.039285714286,94.5922456319386,305.6315313462246,11966,6716,512,645,14856,7630,7228,4459.05261253849,13515,32884.8119129885
40087,"mcclain, oklahoma",OK,610.525,89.1214285714286,699.6464285714286,6249,4453,324,259,8465,6145,4777,3146.058571428571,15012,37604.2684301495
30055,"mccone, montana",MT,-56.8464285714286,16.4234162895937,73.2698448610223,250,110,30,0,189,474,140,113.30793794440892,455,24917.8532311062
46087,"mccook, south dakota",SD,53.3255332902409,94.5922456319386,147.91777892217948,821,467,21,37,372,1033,488,351.9671115688718,1525,27512.1775211979
45065,"mccormick, south carolina",SC,-86.7035714285714,38.35,125.05357142857139,2054,456,38,252,4631,3279,494,346.4214285714285,2244,23633.4913112164
21145,"mccracken, kentucky",KY,778.19752747257,204.485714285714,982.683241758284,17455,3967,655,2020,11235,13004,4622,3166.2732967033135,23942,36561.0445140108
21147,"mccreary, kentucky",KY,-97.3928571428572,132.566273432451,229.9591305753082,8080,649,197,618,1917,2757,846,599.5836522301232,7713,44498.9326717821
48307,"mcculloch, texas",TX,-88.9107142857143,94.5922456319386,183.5029599176529,2023,1492,55,187,3179,1817,1547,1001.601183967061,2034,25520.7026348808
40089,"mccurtain, oklahoma",OK,-140.232142857143,-183.96556007117,324.197702928313,12204,7181,598,904,12809,5914,7779,4797.079081171325,9846,29915.2310637134
29119,"mcdonald, missouri",MO,-74.1072667092085,226.033786058426,300.1410527676345,7961,4815,668,408,6305,3566,5483,3409.8564211070534,6245,27292.1947382222
17109,"mcdonough, illinois",IL,-684.031076276675,94.5922456319386,778.6233219086135,8280,1596,100,1161,3766,5357,1696,1329.0493287634454,8791,29199.1895572458
37111,"mcdowell, north carolina",NC,-56.8464285714286,-83.9678571428571,140.8142857142857,12169,4983,418,1260,5672,9327,5401,3296.925714285714,17509,38564.3804237699
54047,"mcdowell, west virginia",WV,-420.614285714286,-94.0285714285714,514.6428571428573,8032,824,83,998,2025,3893,907,750.0571428571429,7420,41033.0144334458
